stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
62:27578,62:27578,"DUISANS - Place de l'Eglise - N°7","",50.308549,2.684262,,,0,STOPAREA:62:6705,,
62:27579,62:27579,"DUISANS - Place de l'Eglise - Abri","",50.308603,2.684061,,,0,STOPAREA:62:6705,,
62:27580,62:27580,"AGNEZ-LES-DUISANS - Ecole - F N°2 - Abri","",50.306834,2.659665,,,0,STOPAREA:62:5514,,
62:27581,62:27581,"AGNEZ-LES-DUISANS - Ecole - N°2","",50.306895,2.659799,,,0,STOPAREA:62:5514,,
62:27582,62:27582,"NOYELLE-VION - Grand Rue - N°9 - Abri","",50.291743,2.550603,,,0,STOPAREA:62:7941,,
62:27583,62:27583,"NOYELLE-VION - Grand Rue - N°14 - F Abri","",50.291881,2.550318,,,0,STOPAREA:62:7941,,
62:27594,62:27594,"AVESNES-LE-COMTE - Cimetière - Abri","",50.27842,2.522864,,,0,STOPAREA:62:5832,,
62:27595,62:27595,"AVESNES-LE-COMTE - Cimetière - F Abri","",50.278415,2.522666,,,0,STOPAREA:62:5832,,
62:27596,62:27596,"BEAUFORT-BLAVINCOURT - Rue du Moulin - N°54 - Abri","",50.28056,2.501044,,,0,STOPAREA:62:5927,,
62:27597,62:27597,"BEAUFORT-BLAVINCOURT - Rue du Moulin - F N°54","",50.280504,2.501011,,,0,STOPAREA:62:5927,,
62:27598,62:27598,"MANIN - Mairie - Abri","",50.296886,2.511013,,,0,STOPAREA:62:7655,,
62:27599,62:27599,"MANIN - Mairie - F Abri","",50.296939,2.511015,,,0,STOPAREA:62:7655,,
62:27600,62:27600,"GIVENCHY-LE-NOBLE - Mairie - R Marthe - Abri","",50.301608,2.497133,,,0,STOPAREA:62:7029,,
62:27602,62:27602,"LIGNEREUIL - Monument - N°2 - Abri","",50.290517,2.473398,,,0,STOPAREA:62:7512,,
62:27604,62:27604,"AMBRINES - Rue Principale - N°702 - Abri","",50.310141,2.468342,,,0,STOPAREA:62:5628,,
62:27605,62:27605,"AMBRINES - Rue Principale - N°594 - Abri","",50.309865,2.467133,,,0,STOPAREA:62:5628,,
62:27606,62:27606,"AMBRINES - Route de Villers - Abri","",50.311176,2.47459,,,0,STOPAREA:62:5627,,
62:27607,62:27607,"AMBRINES - Route de Villers","",50.311151,2.474283,,,0,STOPAREA:62:5627,,
62:27608,62:27608,"VILLERS-SIR-SIMON - Eglise - N°1 - Abri","",50.317365,2.491835,,,0,STOPAREA:62:8918,,
62:27609,62:27609,"VILLERS-SIR-SIMON - Eglise - F N°1 - Abri","",50.317307,2.491729,,,0,STOPAREA:62:8918,,
62:27610,62:27610,"IZEL-LES-HAMEAUX - Place de l'Eglise - N°3 - Abri","",50.314567,2.530022,,,0,STOPAREA:62:7346,,
62:27611,62:27611,"IZEL-LES-HAMEAUX - Place de l'Eglise - Mairie","",50.314475,2.529783,,,0,STOPAREA:62:7346,,
62:27612,62:27612,"IZEL-LES-HAMEAUX - Rue de la Gare - Abri","",50.315475,2.543381,,,0,STOPAREA:62:7348,,
62:27613,62:27613,"IZEL-LES-HAMEAUX - Rue de la Gare","",50.315518,2.54372,,,0,STOPAREA:62:7348,,
62:27614,62:27614,"HERMAVILLE - Rue d'Izel - N°44 - Abri","",50.319949,2.578802,,,0,STOPAREA:62:7213,,
62:27615,62:27615,"HERMAVILLE - Rue d'Arras - N°12 - Abri","",50.322128,2.586305,,,0,STOPAREA:62:7211,,
62:27616,62:27616,"HERMAVILLE - Rue d'Arras - N°9","",50.322068,2.586441,,,0,STOPAREA:62:7211,,
62:27617,62:27617,"HAUTE-AVESNES - Eglise - Ecole - N°7 - Abri","",50.328756,2.638566,,,0,STOPAREA:62:7140,,
62:27618,62:27618,"HAUTE-AVESNES - Eglise - Ecole - N°6","",50.328802,2.638675,,,0,STOPAREA:62:7140,,
62:27619,62:27619,"WARLUS - Place - N°6 - R d'Arras","",50.275296,2.668691,,,0,STOPAREA:62:8978,,
62:27620,62:27620,"WARLUS - Place - F N°6 - Abri","",50.275329,2.668644,,,0,STOPAREA:62:8978,,
62:27622,62:27622,"DAINVILLE - Vert Tilleul - F N°34","",50.282273,2.728956,,,0,STOPAREA:62:6620,,
62:27623,62:27623,"DAINVILLE - Vert Tilleul - N°34","",50.28231,2.728886,,,0,STOPAREA:62:6620,,
62:27626,62:27626,"BERLENCOURT-LE-CAUROY - Place de l'Eglise - N°213 - Abri","",50.282254,2.426005,,,0,STOPAREA:62:5991,,
62:27630,62:27630,"IVERGNY - Rue d'Arras - R Principale - Abri","",50.235632,2.394068,,,0,STOPAREA:62:7343,,
62:27632,62:27632,"SUS-SAINT-LEGER - Place Raymond Dubois - Abri","",50.237894,2.4309,,,0,STOPAREA:62:8707,,
