stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
02:00913,02:00913,"STE PREUVE - FACE N°1 JARDINS","",49.61841,3.90802,,,0,,,
02:00925,02:00925,"BEUVARDES - ABRI PLACE","",49.1394,3.48775,,,0,,,
02:00926,02:00926,"BEUVARDES - LES TILLEULS","",49.13458,3.4853,,,0,,,
02:00929,02:00929,"VERDILLY - AUX COUPETTES","",49.06714,3.41826,,,0,,,
02:00930,02:00930,"BRASLES - BRIQUETTERIE","",49.05601,3.42192,,,0,,,
02:00939,02:00939,"MAAST ET V. - MAAST ABRI","",49.2836,3.44908,,,0,,,
02:00946,02:00946,"VERDILLY - PL. DE LA MAIRIE","",49.07246,3.4239,,,0,,,
02:00959,02:00959,"BRISSY H. - ABRI HAMEGICOURT","",49.74641,3.3798,,,0,,,
02:00961,02:00961,"ALAINCOURT - PLACE ABRI","",49.76554,3.37529,,,0,,,
02:00962,02:00962,"BERTHENICOURT - ABRI","",49.77249,3.38054,,,0,,,
02:00963,02:00963,"MEZIERES S/ O. - GARE","",49.77892,3.39017,,,0,,,
02:00967,02:00967,"BRUYERES S/ F. - TRUGNY","",49.19954,3.46136,,,0,,,
02:00968,02:00968,"CRAMAILLE - PLACE MAIRIE","",49.22991,3.45295,,,0,,,
02:00969,02:00969,"ARCY STE R. - PLACE ABRI","",49.25275,3.46374,,,0,,,
02:00970,02:00970,"ARCY STE R. - RUGNY ABRI","",49.24054,3.48061,,,0,,,
02:00971,02:00971,"SAPONAY - ABRI PLACE","",49.21458,3.4797,,,0,,,
02:00973,02:00973,"MAREUIL EN D. - ABRI","",49.24029,3.55672,,,0,,,
02:00974,02:00974,"COULONGES C. - COHAN ABRI","",49.2133,3.64054,,,0,,,
02:00978,02:00978,"VILLERS S/ F. - PLACE ABRI","",49.18288,3.53393,,,0,,,
02:00984,02:00984,"NESLES LA M. - NESLES NOUVEAU","",49.02454,3.41188,,,0,,,
02:00989,02:00989,"LA MALMAISON - FACE ABRI EGLISE","",49.51537,3.97996,,,0,,,
02:00990,02:00990,"PROVISEUX ET P. - MAIRIE","",49.46492,4.00929,,,0,,,
02:00991,02:00991,"PROUVAIS - ABRI","",49.46335,3.97575,,,0,,,
02:00994,02:00994,"EVERGNICOURT - MAIRIE ABRI","",49.44276,4.04143,,,0,,,
02:01025,02:01025,"HARY - PLACE","",49.78575,3.9334,,,0,,,
02:01030,02:01030,"COUCY LES E. - ABRI GARE","",49.55581,3.77415,,,0,,,
02:01041,02:01041,"VERVINS - PLACE SOHIER","",49.83531,3.90807,,,0,,,
02:01052,02:01052,"ANY MARTIN R. - MARTIN RIEUX ABRI","",49.88019,4.23659,,,0,,,
02:01053,02:01053,"ANY MARTIN R. - ANY ABRI","",49.88111,4.22088,,,0,,,
02:01056,02:01056,"VARISCOURT - MAIRIE","",49.41682,3.98566,,,0,,,
02:01057,02:01057,"CONDE S/ S. - PLACE MAIRIE","",49.41974,3.95085,,,0,,,
02:01058,02:01058,"CONDE S/ S. - SUCRERIE","",49.42601,3.95925,,,0,,,
02:01061,02:01061,"MENNEVILLE - ABRI","",49.41929,4.00693,,,0,,,
02:01087,02:01087,"VICHEL N. - NANTEUIL","",49.18754,3.31309,,,0,,,
02:01101,02:01101,"BILLY S/ O. - RUE DU VIVIER","",49.21596,3.30194,,,0,,,
02:01102,02:01102,"ST REMY B. - FACE ABRI PLACE","",49.24096,3.31003,,,0,,,
02:01107,02:01107,"GRAND ROZOY - MAIRIE","",49.23424,3.38406,,,0,,,
